Date,Weight
15 Nov 20,154.2
17 Nov 20,154.2
19 Nov 20,153.8
22 Nov 20,152.8
24 Nov 20,154.8
29 Nov 20,154.2
01 Dec 20,154.2
03 Dec 20,154.4
08 Dec 20,153.4
10 Dec 20,155.0
14 Dec 20,154.4
15 Dec 20,155.0
17 Dec 20,153.4
18 Dec 20,152.8
21 Dec 20,154.2
23 Dec 20,152.4
24 Dec 20,153.6
28 Dec 20,155.0
29 Dec 20,154.2
31 Dec 20,155.2
01 Jan 21,153.8
02 Jan 21,157.2
04 Jan 21,156.8
05 Jan 21,154.6
07 Jan 21,155.4
08 Jan 21,156.4
11 Jan 21,156.4
12 Jan 21,155.2
14 Jan 21,155.4
15 Jan 21,155.0
18 Jan 21,154.6
19 Jan 21,155.0
